                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97241,                 2.7258,                 1.3833,                0.16774,                 0.3683,                 0.2033,                 0.1412,                0.96751,                 2.3349,                 1.3481,              0.0033241,              0.0033241,              0.0033241
                      2,                0.83087,                 1.8768,                  1.305,                0.26622,                0.39491,                0.28929,                0.20808,                0.96314,                 2.0527,                 1.3328,              0.0066508,              0.0066508,              0.0066508
                      3,                0.92474,                 1.8706,                 1.3969,                0.12974,                0.32507,                 0.1281,                0.08109,                 1.2448,                 4.1477,                 1.7398,               0.009971,               0.009971,               0.009971
                      4,                0.99153,                 1.9242,                 1.4609,                0.11292,                0.37132,                 0.1074,                0.06532,                 1.3216,                 4.6914,                 1.8601,              0.0099703,              0.0099703,              0.0099703
                      5,                 0.9746,                 1.8389,                 1.4632,                0.23531,                0.36964,                0.25289,                 0.1736,                 1.0565,                 2.1011,                 1.4908,              0.0099703,              0.0099703,              0.0099703
                      6,                0.95568,                 1.7914,                 1.4501,                0.15952,                0.32867,                0.17705,                0.12104,                 1.0585,                 2.6536,                 1.5433,              0.0099604,              0.0099604,              0.0099604
                      7,                  0.916,                 1.6866,                 1.4232,                0.26853,                0.32004,                0.27945,                0.19121,                 1.0561,                  2.083,                 1.5051,              0.0099505,              0.0099505,              0.0099505
                      8,                0.90409,                 1.6714,                 1.4146,                0.20519,                0.41733,                0.23219,                0.16235,                 1.0023,                  2.468,                 1.4801,              0.0099406,              0.0099406,              0.0099406
                      9,                0.88494,                 1.6275,                 1.4059,                0.23618,                0.41203,                0.28806,                0.20491,                 1.0181,                 2.1114,                 1.4883,              0.0099307,              0.0099307,              0.0099307
                     10,                0.86033,                 1.5667,                 1.3815,                 0.2618,                0.40569,                0.28983,                0.20744,                0.95898,                 1.9219,                 1.3991,              0.0099208,              0.0099208,              0.0099208
                     11,                0.85287,                 1.5522,                 1.3771,                0.22097,                0.34762,                0.23915,                0.16683,                 1.0322,                 2.4587,                 1.5219,              0.0099109,              0.0099109,              0.0099109
                     12,                0.83442,                 1.4907,                 1.3595,                 0.2239,                0.36245,                0.24834,                0.17034,                 1.0311,                 2.6408,                 1.5161,               0.009901,               0.009901,               0.009901
                     13,                0.82031,                 1.4619,                 1.3529,                0.22253,                0.47484,                0.27725,                0.19722,                0.95908,                 2.2706,                 1.4165,              0.0098911,              0.0098911,              0.0098911
                     14,                0.80672,                 1.4302,                 1.3433,                0.26785,                0.38508,                0.31083,                0.22622,                0.91641,                 2.0326,                 1.3851,              0.0098812,              0.0098812,              0.0098812
                     15,                0.79107,                 1.3942,                 1.3248,                 0.2697,                0.43507,                 0.3113,                0.22604,                0.92652,                 2.1904,                 1.4078,              0.0098713,              0.0098713,              0.0098713
                     16,                 0.7912,                 1.3726,                 1.3323,                0.28284,                0.45714,                0.32392,                0.23808,                0.91117,                  2.002,                  1.371,              0.0098614,              0.0098614,              0.0098614
                     17,                0.78986,                 1.3771,                 1.3236,                0.29569,                0.42074,                0.33366,                0.24448,                0.91785,                 1.8567,                 1.3644,              0.0098515,              0.0098515,              0.0098515
                     18,                0.76421,                 1.3281,                 1.3046,                 0.3246,                0.47746,                0.36428,                0.26563,                 0.9026,                 1.7639,                 1.3677,              0.0098416,              0.0098416,              0.0098416
                     19,                0.75433,                 1.2906,                 1.2926,                0.36323,                0.48326,                0.42327,                0.31316,                0.90424,                 1.6114,                 1.3491,              0.0098317,              0.0098317,              0.0098317
                     20,                0.74575,                 1.2724,                 1.2873,                0.38669,                0.41429,                0.41088,                0.30247,                0.89217,                 1.6702,                  1.338,              0.0098218,              0.0098218,              0.0098218
                     21,                0.74274,                 1.2577,                 1.2817,                0.25463,                0.41766,                0.30294,                0.22067,                 0.9223,                 2.3128,                 1.4167,              0.0098119,              0.0098119,              0.0098119
                     22,                0.74249,                 1.2519,                 1.2852,                0.32428,                0.47865,                 0.3706,                0.27757,                0.89092,                 1.7561,                 1.3522,               0.009802,               0.009802,               0.009802
                     23,                 0.7221,                 1.2302,                 1.2661,                0.37934,                 0.5054,                0.42114,                0.31897,                0.87979,                 1.5464,                 1.3228,              0.0097921,              0.0097921,              0.0097921
                     24,                0.74028,                 1.2484,                 1.2848,                0.29032,                0.50036,                0.33988,                0.24997,                0.88954,                 2.0065,                 1.3516,              0.0097822,              0.0097822,              0.0097822
                     25,                0.70835,                  1.191,                 1.2551,                0.40232,                 0.5279,                0.46996,                0.35777,                0.86075,                 1.4679,                 1.2973,              0.0097723,              0.0097723,              0.0097723
                     26,                0.71456,                  1.192,                 1.2606,                0.38861,                0.49624,                0.43532,                 0.3303,                 0.8677,                 1.5681,                 1.3269,              0.0097624,              0.0097624,              0.0097624
                     27,                0.70284,                 1.1816,                 1.2482,                0.32633,                0.49267,                0.37393,                0.28063,                0.86355,                 1.8486,                 1.3199,              0.0097525,              0.0097525,              0.0097525
                     28,                0.69757,                  1.177,                 1.2468,                0.38517,                0.50091,                0.42083,                0.31855,                0.85593,                 1.6247,                 1.3179,              0.0097426,              0.0097426,              0.0097426
                     29,                0.69209,                 1.1439,                 1.2414,                0.38604,                 0.4944,                0.41174,                0.31372,                0.87118,                 1.5975,                 1.3199,              0.0097327,              0.0097327,              0.0097327
                     30,                0.69004,                 1.1377,                 1.2385,                0.38422,                0.52852,                0.43163,                0.33195,                0.83517,                 1.6461,                 1.2892,              0.0097228,              0.0097228,              0.0097228
                     31,                0.67938,                 1.1239,                 1.2292,                 0.3842,                0.50802,                0.44085,                0.33553,                0.84832,                 1.6544,                 1.3034,              0.0097129,              0.0097129,              0.0097129
                     32,                0.69171,                 1.1383,                 1.2394,                0.37773,                0.50116,                0.45069,                0.34631,                0.84253,                 1.5846,                 1.2963,               0.009703,               0.009703,               0.009703
                     33,                 0.6768,                 1.0951,                 1.2249,                 0.3886,                0.48308,                0.42642,                0.32667,                0.85685,                 1.7229,                 1.3104,              0.0096931,              0.0096931,              0.0096931
                     34,                0.68044,                 1.1008,                 1.2287,                0.38722,                 0.5188,                0.42603,                0.32526,                0.84927,                 1.6086,                 1.3009,              0.0096832,              0.0096832,              0.0096832
                     35,                0.67126,                 1.0915,                 1.2242,                0.37632,                0.48806,                0.42363,                0.32288,                0.85964,                 1.6996,                 1.3093,              0.0096733,              0.0096733,              0.0096733
                     36,                0.66728,                 1.0892,                 1.2228,                 0.4586,                0.55233,                0.50628,                0.39581,                0.83095,                 1.3984,                 1.2831,              0.0096634,              0.0096634,              0.0096634
                     37,                0.66399,                 1.0875,                 1.2139,                0.45985,                0.53752,                0.49139,                 0.3815,                0.83288,                 1.4116,                 1.2693,              0.0096535,              0.0096535,              0.0096535
                     38,                0.65287,                 1.0495,                 1.2054,                 0.3482,                0.52056,                0.40887,                0.31744,                0.84164,                 1.7404,                 1.3048,              0.0096436,              0.0096436,              0.0096436
                     39,                0.65806,                 1.0579,                 1.2139,                0.48336,                 0.5898,                0.53853,                0.42034,                0.82191,                 1.3246,                 1.2671,              0.0096337,              0.0096337,              0.0096337
                     40,                0.65078,                 1.0447,                 1.2072,                0.46491,                0.57924,                0.52146,                0.40734,                0.83318,                 1.3378,                 1.2745,              0.0096238,              0.0096238,              0.0096238
                     41,                0.64905,                 1.0364,                 1.2023,                0.49491,                0.59902,                0.55441,                 0.4343,                0.81843,                 1.3063,                 1.2588,              0.0096139,              0.0096139,              0.0096139
                     42,                0.64369,                 1.0236,                 1.1971,                0.37699,                0.54796,                0.44755,                0.34694,                0.83135,                 1.6177,                   1.29,               0.009604,               0.009604,               0.009604
                     43,                0.64959,                 1.0288,                    1.2,                0.36868,                0.55832,                0.42207,                0.32532,                0.83272,                 1.6235,                   1.29,              0.0095941,              0.0095941,              0.0095941
                     44,                0.63697,                 1.0088,                 1.1923,                0.47043,                0.56234,                0.52788,                0.41757,                0.81059,                 1.3627,                 1.2556,              0.0095842,              0.0095842,              0.0095842
                     45,                0.63003,                 0.9977,                 1.1879,                0.40796,                0.54221,                 0.4802,                0.37626,                0.83187,                 1.5579,                 1.2937,              0.0095743,              0.0095743,              0.0095743
                     46,                0.62759,                0.98601,                 1.1812,                0.42189,                 0.5601,                0.48407,                0.38169,                0.81978,                 1.5385,                 1.2765,              0.0095644,              0.0095644,              0.0095644
                     47,                0.62962,                  0.999,                 1.1846,                0.51443,                 0.5854,                0.57092,                0.45131,                0.81544,                 1.2346,                 1.2527,              0.0095545,              0.0095545,              0.0095545
                     48,                0.62449,                0.98434,                 1.1809,                0.55046,                0.60409,                0.60213,                 0.4744,                0.80767,                 1.2113,                 1.2465,              0.0095446,              0.0095446,              0.0095446
                     49,                0.63446,                0.98419,                 1.1865,                0.45731,                0.58194,                0.52627,                0.41418,                0.81319,                 1.3921,                 1.2678,              0.0095347,              0.0095347,              0.0095347
                     50,                0.61515,                0.95916,                 1.1717,                0.49556,                0.55879,                0.54296,                0.43338,                0.82002,                 1.3823,                 1.2707,              0.0095248,              0.0095248,              0.0095248
                     51,                0.60815,                0.95204,                 1.1668,                0.48632,                0.52993,                0.52065,                0.41155,                0.81345,                 1.4391,                 1.2612,              0.0095149,              0.0095149,              0.0095149
                     52,                0.61402,                0.96446,                 1.1691,                0.51354,                0.58689,                0.57122,                0.45564,                0.81197,                 1.2727,                  1.249,               0.009505,               0.009505,               0.009505
                     53,                0.61866,                0.97317,                  1.179,                 0.4885,                0.57317,                0.53027,                0.41752,                 0.8029,                 1.3628,                 1.2554,              0.0094951,              0.0094951,              0.0094951
                     54,                0.61023,                0.94523,                 1.1677,                0.53726,                0.60026,                0.58683,                0.46621,                0.80785,                 1.2521,                 1.2535,              0.0094852,              0.0094852,              0.0094852
                     55,                0.60572,                  0.948,                  1.165,                 0.5299,                0.59968,                0.58028,                0.46355,                0.80085,                 1.2161,                 1.2424,              0.0094753,              0.0094753,              0.0094753
                     56,                0.60332,                0.93715,                  1.159,                0.55877,                0.59645,                0.61544,                0.49447,                0.79486,                 1.2042,                 1.2329,              0.0094654,              0.0094654,              0.0094654
                     57,                0.60307,                0.92447,                 1.1604,                0.52465,                 0.5818,                0.57776,                0.46219,                0.80105,                 1.2855,                 1.2456,              0.0094555,              0.0094555,              0.0094555
                     58,                0.60368,                0.93108,                 1.1623,                0.59537,                0.62061,                0.64369,                0.51721,                0.78918,                  1.112,                 1.2276,              0.0094456,              0.0094456,              0.0094456
                     59,                0.60979,                0.93817,                 1.1686,                0.44407,                 0.5822,                0.51312,                0.40816,                0.80877,                 1.4537,                 1.2556,              0.0094357,              0.0094357,              0.0094357
                     60,                0.59074,                0.90119,                 1.1507,                0.56197,                 0.6357,                0.62907,                0.50466,                0.78576,                 1.1625,                 1.2174,              0.0094258,              0.0094258,              0.0094258
                     61,                0.59876,                0.90898,                 1.1553,                0.52945,                0.63231,                0.60518,                0.48772,                0.78943,                 1.2049,                 1.2304,              0.0094159,              0.0094159,              0.0094159
                     62,                0.58267,                0.89189,                 1.1439,                0.54219,                0.62116,                0.60031,                0.48153,                0.80012,                 1.2042,                 1.2381,               0.009406,               0.009406,               0.009406
                     63,                 0.5945,                0.90879,                 1.1522,                0.59327,                0.62457,                0.63382,                0.50885,                0.79497,                 1.1329,                 1.2355,              0.0093961,              0.0093961,              0.0093961
                     64,                 0.5912,                0.89661,                 1.1523,                0.54043,                0.61548,                0.60668,                0.48512,                0.79776,                 1.2148,                 1.2396,              0.0093862,              0.0093862,              0.0093862
                     65,                0.59567,                0.89778,                  1.155,                0.59847,                0.64969,                0.66299,                0.53385,                 0.7858,                 1.0839,                 1.2242,              0.0093763,              0.0093763,              0.0093763
                     66,                0.58394,                0.88556,                 1.1456,                0.60927,                0.64599,                0.66406,                0.53369,                0.78427,                 1.0866,                 1.2231,              0.0093664,              0.0093664,              0.0093664
                     67,                0.59142,                0.89768,                 1.1559,                0.62615,                0.63642,                  0.679,                0.54973,                0.77524,                 1.0517,                 1.2195,              0.0093565,              0.0093565,              0.0093565
                     68,                0.58453,                0.87693,                 1.1448,                0.59852,                0.63701,                0.64581,                0.52017,                 0.7842,                 1.1101,                 1.2235,              0.0093466,              0.0093466,              0.0093466
                     69,                0.58249,                0.87531,                 1.1439,                0.61952,                0.62206,                  0.644,                0.51899,                0.78256,                 1.1015,                  1.225,              0.0093367,              0.0093367,              0.0093367
                     70,                  0.576,                0.86756,                 1.1353,                0.52145,                0.62004,                0.59549,                0.48039,                0.78035,                 1.2244,                 1.2302,              0.0093268,              0.0093268,              0.0093268
                     71,                0.58299,                0.87047,                 1.1411,                0.54062,                0.66776,                 0.6379,                0.51417,                0.78082,                 1.1209,                 1.2208,              0.0093169,              0.0093169,              0.0093169
                     72,                0.57127,                0.85808,                 1.1323,                0.56859,                0.62212,                0.61262,                0.49346,                0.78391,                  1.158,                 1.2328,               0.009307,               0.009307,               0.009307
                     73,                0.57251,                0.85208,                 1.1333,                0.58541,                0.61952,                0.61698,                0.49412,                0.78136,                 1.1532,                 1.2265,              0.0092971,              0.0092971,              0.0092971
                     74,                0.56656,                0.85835,                 1.1316,                0.57946,                0.63001,                0.62431,                0.50473,                0.77697,                  1.124,                 1.2209,              0.0092872,              0.0092872,              0.0092872
                     75,                0.56577,                 0.8566,                 1.1299,                0.63015,                0.63541,                0.66057,                0.53402,                0.77571,                 1.0489,                 1.2144,              0.0092773,              0.0092773,              0.0092773
                     76,                0.57098,                 0.8448,                 1.1339,                0.57178,                0.64252,                0.62819,                0.50687,                0.78497,                  1.124,                 1.2259,              0.0092674,              0.0092674,              0.0092674
                     77,                0.56597,                0.83903,                 1.1283,                0.59406,                 0.6336,                0.64447,                0.52135,                0.78095,                 1.1066,                 1.2215,              0.0092575,              0.0092575,              0.0092575
                     78,                0.56107,                0.83646,                 1.1295,                0.57426,                0.64376,                0.63293,                0.51221,                0.77509,                  1.114,                  1.219,              0.0092476,              0.0092476,              0.0092476
                     79,                0.56792,                0.84643,                 1.1305,                0.61731,                 0.6284,                0.65961,                0.53301,                 0.7755,                 1.0719,                 1.2156,              0.0092377,              0.0092377,              0.0092377
                     80,                 0.5662,                0.83744,                 1.1293,                0.60769,                0.66413,                 0.6786,                0.55283,                0.76743,                 1.0353,                 1.2075,              0.0092278,              0.0092278,              0.0092278
                     81,                0.56088,                0.83389,                 1.1231,                0.59986,                0.64603,                0.65161,                0.53106,                0.76723,                 1.0737,                 1.2075,              0.0092179,              0.0092179,              0.0092179
                     82,                0.56009,                0.82824,                 1.1249,                0.58832,                0.64033,                  0.636,                0.51671,                0.77497,                 1.1242,                 1.2128,               0.009208,               0.009208,               0.009208
                     83,                0.55578,                0.81484,                 1.1235,                0.58638,                0.66153,                0.65593,                0.53402,                0.77467,                 1.0786,                 1.2135,              0.0091981,              0.0091981,              0.0091981
                     84,                0.55672,                0.82248,                 1.1207,                0.59781,                0.66191,                0.65597,                0.53297,                0.76612,                 1.0718,                 1.2035,              0.0091882,              0.0091882,              0.0091882
                     85,                0.55508,                0.81396,                 1.1188,                 0.6076,                0.63205,                0.64687,                0.52643,                0.76706,                 1.1066,                  1.211,              0.0091783,              0.0091783,              0.0091783
                     86,                 0.5589,                0.82326,                 1.1225,                0.61416,                0.64908,                 0.6511,                0.52982,                0.76923,                 1.0701,                 1.2167,              0.0091684,              0.0091684,              0.0091684
                     87,                    inf,                 0.8075,                 1.1156,                0.61858,                0.65491,                0.65619,                0.53509,                0.76007,                 1.0472,                 1.2004,              0.0091585,              0.0091585,              0.0091585
                     88,                0.55247,                0.81141,                 1.1146,                0.61982,                0.66571,                0.67794,                0.55624,                0.75736,                 1.0241,                 1.1934,              0.0091486,              0.0091486,              0.0091486
                     89,                0.55417,                0.80483,                 1.1167,                0.58931,                0.66783,                0.64699,                0.52979,                0.76034,                 1.0815,                 1.1955,              0.0091387,              0.0091387,              0.0091387
                     90,                0.54077,                0.80059,                 1.1117,                0.63318,                0.66096,                0.69221,                  0.568,                0.76143,                 1.0149,                 1.1981,              0.0091288,              0.0091288,              0.0091288
                     91,                0.54579,                0.79208,                  1.113,                0.63633,                0.66731,                0.68439,                 0.5611,                 0.7629,                 1.0181,                 1.2001,              0.0091189,              0.0091189,              0.0091189
                     92,                0.55176,                0.80269,                 1.1169,                0.64504,                0.67361,                0.69596,                0.56715,                0.76442,                 1.0035,                 1.2058,               0.009109,               0.009109,               0.009109
